Unique Well ID,Operator Name,First 12 mo CUM GAS  Mcf,First 12 mo CUM CND/OIL  Bbl,First 12 mo CUM BOE  Bbl,First 12 mo CALENDAR DAILY AVG GAS  Mcf,First 12 mo CALENDAR DAILY AVG BOE  Bbl,Total Measured Depth (m) WCFD,First 12 mo CUM HRS  hrs,Completion Year WCFD,Completed Length (m) WCFD,Avg Frac Spacing (m/s),Stages Actual WCFD,Technology Group WCFD,Avg Proppant Placed WCFD (t/m),Total Proppant Placed WCFD (t),Frac Fluid WCFD,Avg Fluid Pumped WCFD (m3/s)
102/13-21-082-20W6/00,CREW ENERGY INC.,414163,0,69027,1135,189,3621,7620,2017,1484,55,27,Ball and Seat ,0.90,1266,SW,393.6
102/09-02-080-19W6/00,SHELL CANADA LIMITED,1534140,0,255690,4192,699,5490,7622,2016,2606,93,28,Ball and Seat ,0.60,1680,SW,341.4
100/02-34-079-17W6/00,OVINTIV CANADA ULC,727267,7051,128262,1993,351,4105,7622,2010,1621,324,5,Plug and Perf,0.70,1200,SW,1037.5
100/13-21-082-20W6/00,CREW ENERGY INC.,353807,0,58968,969,162,3700,7622,2017,1722,56,31,Ball and Seat ,1.00,1745,SW,358.5
100/08-02-082-19W6/00,CREW ENERGY INC.,138557,0,23093,380,63,3400,7622,2009,1149,230,5,Coil Tubing/Plug and Perf,0.50,600,SW,529.6
100/09-24-080-20W6/00,SHELL CANADA LIMITED,3233064,0,538844,8858,1476,6335,7625,2018,3507,56,63,Ball and Seat/Coil Tubing,0.90,3151,SW,293.8
100/03-06-080-17W6/00,OVINTIV CANADA ULC,1541785,15856,272820,4224,748,4095,7625,2018,1743,103,17,Plug and Perf,1.50,2542,SW,517.2
106/09-10-080-17W6/00,OVINTIV CANADA ULC,403587,5981,73245,1106,201,4781,7625,2018,2234,172,13,Plug and Perf,0.40,984,SW,305.8
102/02-16-080-19W6/00,SHELL CANADA LIMITED,1097820,0,182970,3008,501,4921,7627,2016,1972,58,34,Ball and Seat ,0.50,1050,SW,263.1
108/02-06-081-17W6/00,OVINTIV CANADA ULC,1026237,9042,180081,2812,493,4407,7630,2018,2125,71,30,Plug and Perf,1.80,3732,SW,613.3
102/14-16-080-15W6/00,ARC RESOURCES LTD.,913241,96,152303,2502,417,4306,7630,2017,2127,164,13,Plug and Perf,1.70,3683,SW,1101.1
102/05-01-081-18W6/00,OVINTIV CANADA ULC,2122983,46380,400210,5816,1097,4534,7634,2018,2245,70,32,Plug and Perf,1.10,2431,SW,471.4
102/04-15-082-20W6/00,CREW ENERGY INC.,944929,388,157876,2589,433,3749,7634,2016,1750,65,27,Ball and Seat ,1.00,1755,SW,430.1
102/15-16-080-15W6/00,ARC RESOURCES LTD.,882930,28,147183,2419,403,3681,7634,2017,1527,153,10,Plug and Perf,1.70,2600,SW,899.2
100/08-20-082-20W6/00,CREW ENERGY INC.,809786,351,135316,2219,371,3497,7637,2016,1376,66,21,Ball and Seat ,1.00,1365,SW,375.4
102/14-09-078-17W6/00,MURPHY OIL COMPANY LTD.,2114052,0,352342,5792,965,4794,7639,2014,1889,111,17,Ball and Seat ,0.90,1700,SW,606.3
102/03-06-080-17W6/00,OVINTIV CANADA ULC,1444108,13089,253773,3957,695,4080,7639,2018,1684,112,15,Plug and Perf,1.30,2191,SW,545.3
