Unique Well ID,Region,Operator Name,First 12 mo CUM GAS  Mcf,First 12 mo CUM CND/OIL  Bbl,First 12 mo CUM BOE  Bbl,First 12 mo Monthly WTR  Bbl,First 12 mo CALENDAR DAILY AVG GAS  Mcf,First 12 mo CALENDAR DAILY AVG BOE  Bbl,Total Measured Depth (m) WCFD,First 12 mo CUM HRS  hrs,Completion Year WCFD,Completed Length (m) WCFD,Avg Frac Spacing (m/s),Stages Actual WCFD,Technology Group WCFD,Avg Proppant Placed WCFD (t/m),Total Proppant Placed WCFD (t),Frac Fluid WCFD,Avg Fluid Pumped WCFD (m3/s)
100/08-04-078-17W6/00,south_graben,MURPHY OIL COMPANY LTD.,2327897,0,387983,28844,6378,1063,5816,8534,2017,3037,105,29,Plug and Perf,1.4,4329.8,SW,814
100/16-27-077-15W6/00,south_graben,OVINTIV CANADA ULC,2319414,21746,408315,6471,6355,1119,4700,7603,2012,2227,223,10,Plug and Perf,0.7,1610,SW,967.6
100/02-30-077-13W6/00,south_graben,OVINTIV CANADA ULC,2317853,69078,455386,55177,6333,1244,5545,8573,2019,3100,89,35,Plug and Perf,3,9223.9,SW,793.7
100/04-04-080-17W6/00,south_graben,OVINTIV CANADA ULC,2302177,44900,428596,60008,6307,1174,5085,7034,2016,2489,113,22,Plug and Perf,1.4,3533.6,SW,813
102/15-01-080-18W6/00,south_graben,OVINTIV CANADA ULC,2300842,42927,426401,54826,6287,1165,4110,7997,2019,1398,70,20,Plug and Perf,2.3,3170.3,SW,694.4
100/16-34-079-18W6/00,south_graben,SHELL CANADA LIMITED,2299553,33,383292,45608,6300,1050,5954,8138,2018,3047,55,55,Ball and Seat/Coil Tubing,0.9,2747.8,SW,272.9
102/12-01-081-16W6/00,south_graben,TOURMALINE OIL CORP.,2297272,3370,386249,11069,6294,1058,3523,6374,2012,1496,75,20,Ball and Seat/Plug and Perf,0.9,1307,SW,277.8
102/06-32-079-17W6/00,south_graben,OVINTIV CANADA ULC,2286829,36225,417363,61647,6265,1144,4710,8280,2018,2068,90,23,Plug and Perf,1.8,3612,SW,685.9
100/04-15-078-14W6/00,south_graben,OVINTIV CANADA ULC,2286112,106547,487566,72886,6824,1455,6267,7546,2020,3851,104,37,Plug and Perf,2.9,11118.3,SW,897.3
100/13-10-078-14W6/00,south_graben,OVINTIV CANADA ULC,2285290,97664,478545,67878,6822,1429,6241,7543,2020,3767,108,35,Plug and Perf,2.7,10105.8,SW,876
100/05-10-078-14W6/00,south_graben,OVINTIV CANADA ULC,2284982,102537,483367,71113,6821,1443,5902,7709,2020,3486,109,32,Plug and Perf,2.8,9579.5,SW,904.9
